Methamidophos C2H8NO2PS
Etoxazole C21H23F2NO2
Spinetoram C42H69NO10
Carbofuran C12H15NO3
Fenamidone C17H17N3OS
Mepronil C17H19NO2
Iprovalicarb C18H28N2O3
Cyazofamid C13H13ClN4O2S
Bupirimate C13H24N4O3S
Cyprodinil C14H15N3
Metconazole C17H22ClN3O
Novaluron C17H9ClF8N2O4
Furathiocarb C18H26N2O5S
Quinoxyfen C15H8Cl2FNO
Amitraz C19H23N3
Thidiazuron C9H8N4OS
Diethofencarb C14H21NO4
Ethiprole C13H9Cl2F3N4OS
Cyproconazole C15H18ClN3O
Fenhexamid C14H17Cl2NO2
Rotenone C23H22O6
Kresoxim-methyl C18H19NO4
Zoxamide C14H16Cl3NO2
Pencycuron C19H21ClN2O
Tebufenpyrad C18H24ClN3O
Flufenoxuron C21H11ClF6N2O3
Chlorfluazuron C20H9Cl3F5N3O3
Methoprotryne C11H21N5OS
Boscalid C18H12Cl2N2O
Triadimefon C14H16ClN3O2
Spirotetramat C21H27NO5
Fenbuconazole C19H17ClN4
Neburon C12H16Cl2N2O
Triflumuron C15H10ClF3N2O3
Metaflumizone C24H16F6N4O2
Spiromesifen C23H30O4
Fenazaquin C20H22N2O
Linuron C9H10Cl2N2O2
Fenobucarb C12H17NO2
Bifenazate C17H20N2O3
Tetraconazole C13H11Cl2F4N3O
Flusilazole C16H15F2N3Si
Benalaxyl C20H23NO3
Prochloraz C15H16Cl3N3O2
Triflumizole C15H15ClF3N3O
Acibenzolar-S-methyl C8H6N2OS2
Chloroxuron C15H15ClN2O2
Clethodim C17H26ClNO3S
Alanycarb C17H25N3O4S2
Bitertanol C20H23N3O2
Teflubenzuron C14H6Cl2F4N2O2
Ametryn C9H17N5S
Myclobutanil C15H17ClN4
Prometryne C10H19N5S
Dimoxystrobin C19H22N2O3
Thiobencarb C12H16ClNOS
Pyrimethanil C12H13N3
Mefenacet C16H14N2O2S
Etaconazole C14H15Cl2N3O2
Carfentrazone-ethyl C15H14Cl2F3N3O3
Emamectin-benzoate(B1b) C55H79NO15
Eprinomectin (B1a) C49H73NO14
